ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2024-08-22T13:46:52.210665239Z,2024-08-22T13:46:52.210497927Z,1,2,2639,T,N,0,38.850000000,100,130,167312,50118672,38.810000000,38.900000000,3,100,1,1,CAKE
2024-08-22T13:47:01.789665896Z,2024-08-22T13:47:01.789493399Z,1,2,2639,T,N,0,38.855000000,1,0,172497,50529843,38.810000000,38.900000000,101,203,2,3,CAKE
2024-08-22T13:47:01.789665896Z,2024-08-22T13:47:01.789495199Z,1,2,2639,T,N,0,38.855000000,1,128,170697,50529846,38.810000000,38.900000000,101,203,2,3,CAKE
2024-08-22T13:47:43.464064467Z,2024-08-22T13:47:43.463896654Z,1,2,2639,T,N,0,38.855000000,1,130,167813,52278617,38.810000000,38.900000000,101,306,2,5,CAKE
2024-08-22T13:47:50.150260145Z,2024-08-22T13:47:50.150089433Z,1,2,2639,T,A,0,38.810000000,100,0,170712,52468037,38.810000000,38.900000000,101,306,2,5,CAKE
2024-08-22T13:47:50.150260145Z,2024-08-22T13:47:50.150089433Z,1,2,2639,T,A,0,38.810000000,1,130,170712,52468038,38.810000000,38.900000000,1,306,1,5,CAKE
2024-08-22T13:47:50.150301926Z,2024-08-22T13:47:50.150129844Z,1,2,2639,T,A,0,38.800000000,76,128,172082,52468051,38.800000000,38.860000000,108,167,1,3,CAKE
2024-08-22T13:47:50.150335968Z,2024-08-22T13:47:50.150165377Z,1,2,2639,T,A,0,38.800000000,32,128,170591,52468064,38.800000000,38.860000000,32,127,1,2,CAKE
2024-08-22T13:47:57.586384661Z,2024-08-22T13:47:57.586214734Z,1,2,2639,T,A,0,38.770000000,1,0,169927,52724476,38.770000000,38.830000000,2,100,2,1,CAKE
2024-08-22T13:47:57.586384661Z,2024-08-22T13:47:57.586214734Z,1,2,2639,T,A,0,38.770000000,1,130,169927,52724477,38.770000000,38.830000000,1,100,1,1,CAKE
2024-08-22T13:47:57.586711608Z,2024-08-22T13:47:57.586539652Z,1,2,2639,T,A,0,38.730000000,12,0,171956,52724485,38.730000000,38.800000000,15,25,2,1,CAKE
2024-08-22T13:47:57.586711608Z,2024-08-22T13:47:57.586539652Z,1,2,2639,T,A,0,38.730000000,3,130,171956,52724486,38.730000000,38.800000000,3,25,1,1,CAKE
2024-08-22T13:48:51.829640112Z,2024-08-22T13:48:51.829472897Z,1,2,2639,T,N,0,38.720000000,1,130,167215,54910118,38.660000000,38.780000000,10,104,1,3,CAKE
2024-08-22T13:49:06.748828976Z,2024-08-22T13:49:06.748662598Z,1,2,2639,T,N,0,38.720000000,10,130,166378,55442875,38.670000000,38.770000000,112,7,3,2,CAKE
2024-08-22T13:49:52.678009214Z,2024-08-22T13:49:52.677831849Z,1,2,2639,T,N,0,38.715000000,2,128,177365,57028109,38.690000000,38.760000000,14,100,3,1,CAKE
2024-08-22T13:50:02.596030702Z,2024-08-22T13:50:02.595863614Z,1,2,2639,T,N,0,38.715000000,100,130,167088,57419382,38.690000000,38.760000000,13,206,3,4,CAKE
2024-08-22T13:50:14.101046644Z,2024-08-22T13:50:14.100878284Z,1,2,2639,T,B,0,38.760000000,1,130,168360,58027419,38.690000000,38.760000000,13,213,3,5,CAKE
2024-08-22T13:50:15.637489391Z,2024-08-22T13:50:15.637319581Z,1,2,2639,T,B,0,38.760000000,2,128,169810,58123955,38.690000000,38.760000000,13,312,3,6,CAKE
2024-08-22T13:50:16.932371766Z,2024-08-22T13:50:16.932204376Z,1,2,2639,T,B,0,38.760000000,2,130,167390,58168654,38.690000000,38.760000000,13,310,3,6,CAKE
2024-08-22T13:51:04.879786282Z,2024-08-22T13:51:04.879617275Z,1,2,2639,T,N,0,38.720000000,3,0,169007,60183503,38.690000000,38.760000000,13,213,3,5,CAKE
2024-08-22T13:51:04.879786282Z,2024-08-22T13:51:04.879618789Z,1,2,2639,T,N,0,38.720000000,2,130,167493,60183505,38.690000000,38.760000000,13,213,3,5,CAKE
2024-08-22T13:52:26.007663425Z,2024-08-22T13:52:26.007496662Z,1,2,2639,T,N,0,38.720000000,3,130,166763,63404028,38.690000000,38.760000000,12,113,2,4,CAKE
2024-08-22T13:53:12.477973302Z,2024-08-22T13:53:12.477806719Z,1,2,2639,T,N,0,38.700000000,100,130,166583,64963809,38.690000000,38.760000000,18,113,3,4,CAKE
2024-08-22T13:53:47.112194918Z,2024-08-22T13:53:47.112026596Z,1,2,2639,T,B,0,38.750000000,10,130,168322,66122120,38.690000000,38.750000000,10,100,1,1,CAKE
2024-08-22T13:54:00.768677673Z,2024-08-22T13:54:00.768509416Z,1,2,2639,T,N,0,38.710000000,100,130,168257,66572475,38.690000000,38.760000000,10,113,1,4,CAKE
2024-08-22T13:55:02.390115730Z,2024-08-22T13:55:02.389948332Z,1,2,2639,T,N,0,38.740000000,1,130,167398,68489179,38.690000000,38.750000000,10,108,1,2,CAKE
2024-08-22T13:55:18.310476466Z,2024-08-22T13:55:18.310309499Z,1,2,2639,T,N,0,38.740000000,100,130,166967,69089703,38.690000000,38.750000000,10,108,1,2,CAKE
2024-08-22T13:55:42.021957326Z,2024-08-22T13:55:42.021787335Z,1,2,2639,T,N,0,38.740000000,100,0,169991,70005899,38.690000000,38.750000000,159,108,5,2,CAKE
2024-08-22T13:55:42.021957326Z,2024-08-22T13:55:42.021787335Z,1,2,2639,T,B,0,38.750000000,8,128,169991,70005900,38.690000000,38.750000000,159,108,5,2,CAKE
2024-08-22T13:55:42.021979996Z,2024-08-22T13:55:42.021812129Z,1,2,2639,T,B,0,38.750000000,92,0,167867,70005903,38.690000000,38.750000000,159,100,5,2,CAKE
2024-08-22T13:55:42.021979996Z,2024-08-22T13:55:42.021812129Z,1,2,2639,T,B,0,38.750000000,8,130,167867,70005904,38.690000000,38.750000000,159,8,5,1,CAKE
2024-08-22T13:55:42.022167203Z,2024-08-22T13:55:42.022000160Z,1,2,2639,T,B,0,38.760000000,5,130,167043,70005938,38.720000000,38.760000000,114,100,2,1,CAKE
